periodo;ordem_mes;armazem;uf;estoque_inicial_loja;estoque_loja;devol_cd;acuracia_estoque;perc_retrabalho_logistica;retrabalho_logistica
MAI/2026;5;LOJA TRES CORACOES;MG;204;166;38;0,18627451;0,236842105;9
MAI/2026;5;LOJA POUSO ALEGRE;MG;165;165;0;0;0;0
MAI/2026;5;LOJA ALFENAS;MG;244;137;107;0,43852459;0,065420561;7
MAI/2026;5;LOJA OURINHOS;SP;205;134;71;0,346341463;0,352112676;25
MAI/2026;5;LOJA AREADO;MG;119;117;2;0,016806723;0;0
MAI/2026;5;LOJA POCOS DE CALDAS;MG;173;101;72;0,416184971;0,833333333;60
MAI/2026;5;LOJA BANDEIRANTES;SP;104;89;15;0,144230769;0;0
MAI/2026;5;LOJA PRESIDENTE PRUDENTE;SP;135;80;55;0,407407407;0;0
MAI/2026;5;LOJA TUPA;SP;110;71;39;0,354545455;0;0
MAI/2026;5;LOJA VARGINHA;MG;105;58;47;0,447619048;0;0
MAI/2026;5;LOJA SIQUEIRA CAMPOS;SP;30;30;0;0;0;0
MAI/2026;5;LOJA SANTA RITA DO SAPUCAI;MG;25;25;0;0;0;0
MAI/2026;5;LOJA WENCESLAU BRAZ;SP;22;22;0;0;0;0
MAI/2026;5;LOJA CANDIDO MOTA;SP;31;22;9;0,290322581;0,555555556;5
MAI/2026;5;LOJA SANTA C DO RIO PARDO;SP;27;21;6;0,222222222;0;0
MAI/2026;5;LOJA SANTO A D PLATINA;SP;25;19;6;0,24;0;0
MAI/2026;5;LOJA ITAPEVA;SP;34;18;16;0,470588235;0;0
MAI/2026;5;LOJA ITAPETININGA;SP;20;17;3;0,15;0;0
MAI/2026;5;LOJA PIRAJU;SP;37;16;21;0,567567568;0,047619048;1
MAI/2026;5;LOJA ASSIS;SP;58;16;42;0,724137931;0,071428571;3
MAI/2026;5;LOJA NOVA RESENDE;MG;26;12;14;0,538461538;0,428571429;6
MAI/2026;5;LOJA JACAREZINHO;SP;30;12;18;0,6;0,333333333;6
MAI/2026;5;LOJA CAMBARA;SP;30;12;18;0,6;0;0
MAI/2026;5;LOJA BOTELHOS;MG;29;11;18;0,620689655;0;0
MAI/2026;5;LOJA ELOI MENDES;MG;10;10;0;0;0;0
MAI/2026;5;LOJA GUAXUPE;MG;9;9;0;0;0;0
MAI/2026;5;LOJA TATUI;SP;9;9;0;0;0;0
MAI/2026;5;LOJA PALMITAL;SP;9;9;0;0;0;0
MAI/2026;5;LOJA BERNARDINO DE CAMPOS;SP;17;9;8;0,470588235;0;0
MAI/2026;5;LOJA MONTE BELO;MG;8;8;0;0;0;0
MAI/2026;5;LOJA ITAJUBA;MG;29;8;21;0,724137931;0;0
MAI/2026;5;LOJA SERRANIA;MG;34;8;26;0,764705882;0,076923077;2
MAI/2026;5;LOJA TAQUARITUBA;SP;8;8;0;0;0;0
MAI/2026;5;LOJA ALTEROSA;MG;7;7;0;0;0;0
MAI/2026;5;LOJA RINOPOLIS;SP;6;6;0;0;0;0
MAI/2026;5;LOJA BASTOS;SP;7;6;1;0,142857143;0;0
MAI/2026;5;LOJA CARLOPOLIS;SP;14;6;8;0,571428571;0,375;3
MAI/2026;5;LOJA ITARARE;SP;25;6;19;0,76;0;0
MAI/2026;5;LOJA CALDAS;MG;17;4;13;0,764705882;0;0
MAI/2026;5;LOJA DIVISA NOVA;MG;24;4;20;0,833333333;0;0
MAI/2026;5;LOJA FARTURA;SP;4;3;1;0,25;0;0
MAI/2026;5;LOJA MUZAMBINHO;MG;2;2;0;0;0;0
MAI/2026;5;LOJA ANDIRA;SP;3;2;1;0,333333333;0;0
MAI/2026;5;LOJA ITABERA;SP;4;2;2;0,5;0;0
MAI/2026;5;LOJA CHAVANTES;SP;9;2;7;0,777777778;0,142857143;1
MAI/2026;5;LOJA SAO PEDRO DA UNIAO;MG;1;1;0;0;0;0
MAI/2026;5;LOJA CAMPESTRE;MG;2;1;1;0,5;0;0
MAI/2026;5;LOJA TRES PONTAS;MG;8;1;7;0,875;0;0
MAI/2026;5;LOJA SANTA MARIANA;SP;5;1;4;0,8;0;0
MAI/2026;5;LOJA CORNELIO PROCOPIO;SP;6;1;5;0,833333333;0;0
MAI/2026;5;LOJA PARAPUA;SP;7;1;6;0,857142857;0;0
MAI/2026;5;LOJA RIBEIRAO CLARO;SP;8;1;7;0,875;0;0
MAI/2026;5;LOJA ESPIRITO SANTO DO PINHAL;SP;0;0;0;0;0;0
MAI/2026;5;LOJA AGUAS DA PRATA;SP;0;0;0;0;0;0
MAI/2026;5;LOJA VARGEM GRANDE DO SUL;SP;0;0;0;0;0;0
MAI/2026;5;LOJA MOCOCA;SP;8;0;8;1;0;0
MAI/2026;5;LOJA SAO JOAO DA BOA VISTA;SP;2;0;2;1;0;0
MAI/2026;5;LOJA SÃO JOSÉ DO RIO PARDO;SP;49;0;49;1;0;0
MAI/2026;5;LOJA AGUAI;SP;1;0;1;1;0;0
MAI/2026;5;LOJA IBIRAREMA;SP;4;0;4;1;0;0
MAI/2026;5;LOJA MONTE MOR;SP;13;0;13;1;0;0
JUN/2026;6;LOJA AREADO;MG;132;132;0;0;0;0
JUN/2026;6;LOJA ALFENAS;MG;216;123;93;0,430555556;0;0
JUN/2026;6;LOJA POCOS DE CALDAS;MG;188;118;70;0,372340426;0;0
JUN/2026;6;LOJA BANDEIRANTES;SP;124;118;6;0,048387097;0,333333333;2
JUN/2026;6;LOJA OURINHOS;SP;121;70;51;0,421487603;0;0
JUN/2026;6;LOJA TRES CORACOES;MG;29;29;0;0;0;0
JUN/2026;6;LOJA CAMBARA;SP;17;17;0;0;0;0
JUN/2026;6;LOJA SANTA RITA DO SAPUCAI;MG;32;14;18;0,5625;0;0
JUN/2026;6;LOJA SANTA C DO RIO PARDO;SP;12;12;0;0;0;1
JUN/2026;6;LOJA ALTEROSA;MG;11;11;0;0;0;0
JUN/2026;6;LOJA TUPA;SP;31;10;21;0,677419355;0;0
JUN/2026;6;LOJA PIRAJU;SP;26;10;16;0,615384615;0;0
JUN/2026;6;LOJA ASSIS;SP;25;9;16;0,64;0;0
JUN/2026;6;LOJA SANTO A D PLATINA;SP;28;7;21;0,75;0;0
JUN/2026;6;LOJA PRESIDENTE PRUDENTE;SP;71;7;64;0,901408451;0;0
JUN/2026;6;LOJA PARAPUA;SP;7;7;0;0;0;0
JUN/2026;6;LOJA GUAXUPE;MG;8;6;2;0,25;0;0
JUN/2026;6;LOJA SERRANIA;MG;16;6;10;0,625;0;0
JUN/2026;6;LOJA CALDAS;MG;13;6;7;0,538461538;0;0
JUN/2026;6;LOJA ITAPETININGA;SP;6;6;0;0;0;0
JUN/2026;6;LOJA POUSO ALEGRE;MG;34;5;29;0,852941176;0;0
JUN/2026;6;LOJA DIVISA NOVA;MG;7;5;2;0,285714286;0;0
JUN/2026;6;LOJA WENCESLAU BRAZ;SP;22;5;17;0,772727273;0;0
JUN/2026;6;LOJA ITARARE;SP;13;5;8;0,615384615;0;0
JUN/2026;6;LOJA SANTA MARIANA;SP;5;5;0;0;0;1
JUN/2026;6;LOJA MUZAMBINHO;MG;5;4;1;0,2;0;0
JUN/2026;6;LOJA VARGINHA;MG;44;3;41;0,931818182;0;0
JUN/2026;6;LOJA BASTOS;SP;4;3;1;0,25;0;0
JUN/2026;6;LOJA CANDIDO MOTA;SP;3;3;0;0;0;0
JUN/2026;6;LOJA JACAREZINHO;SP;3;3;0;0;0;0
JUN/2026;6;LOJA SAO PEDRO DA UNIAO;MG;2;2;0;0;0;0
JUN/2026;6;LOJA NOVA RESENDE;MG;25;2;23;0,92;0;0
JUN/2026;6;LOJA ITAJUBA;MG;13;2;11;0,846153846;0;0
JUN/2026;6;LOJA PALMITAL;SP;2;2;0;0;0;0
JUN/2026;6;LOJA ANDIRA;SP;2;2;0;0;0;0
JUN/2026;6;LOJA CARLOPOLIS;SP;2;2;0;0;0;0
JUN/2026;6;LOJA ELOI MENDES;MG;15;1;14;0,933333333;0;0
JUN/2026;6;LOJA CAMPESTRE;MG;4;1;3;0,75;0;0
JUN/2026;6;LOJA BERNARDINO DE CAMPOS;SP;2;1;1;0,5;0;0
JUN/2026;6;LOJA CHAVANTES;SP;3;1;2;0,666666667;0;0
JUN/2026;6;LOJA IBIRAREMA;SP;4;1;3;0,75;0;0
JUN/2026;6;LOJA MONTE BELO;MG;4;0;4;1;0;0
JUN/2026;6;LOJA BOTELHOS;MG;17;0;17;1;0;0
